Date,Open,High,Low,Close,Adj Close,Volume
12/28/2017,321.75,327.75,321.75,326,287.054138,225484
12/29/2017,328.5,332,328.5,331.75,292.117218,119323
1/2/2018,333,342,330,342,301.142731,462504
1/3/2018,340,355,339,352,309.948059,399462
1/4/2018,356,356,347,350,308.187012,747238
1/5/2018,348,354,348,349,307.306458,1243363
1/8/2018,354,354,350,351,309.067535,1047060
1/9/2018,353,354,350,352,309.948059,713184
1/10/2018,355,355,352,354,311.709106,622502
1/11/2018,354,357,352,352,309.948059,337677
1/12/2018,354,354,352,353,310.828583,1321377
1/15/2018,353,357,353,356,313.470184,416267
1/16/2018,356,356,353,354,311.709106,258307
1/17/2018,354,354,348,350,308.187012,377230
1/18/2018,350,351,349,350,308.187012,294350
1/19/2018,351,354,350,353,310.828583,365307
1/22/2018,355,364,354,363,319.633942,1644805
1/23/2018,364,368,364,367,323.156097,1032955
1/24/2018,366,368,364,364,320.514465,625138
1/25/2018,366,368,366,367,323.156097,391701
1/26/2018,368,368,366,367,323.156097,455341
1/29/2018,367,370,366,366,322.275543,267890
1/30/2018,367,367,362,362,318.753418,317417
1/31/2018,365,365,362,364,320.514465,179512
2/1/2018,364,365,363,364,320.514465,538855
2/2/2018,365,365,358,360,316.992371,387488
2/5/2018,357,357,325,349,307.306458,955207
2/6/2018,333,335,324,332,292.337372,1192507
2/7/2018,338,350,338,347,305.54538,743094
2/8/2018,344,344,339,340,299.381622,722388
2/9/2018,333,336,327,334,294.09845,374984
2/12/2018,339,343,331,335,294.978973,830322
2/13/2018,335,340,335,338,297.620605,201668
2/14/2018,339,342,336,340,299.381622,296188
2/15/2018,340,346,340,345,303.784332,301189
2/16/2018,353,353,349,350,308.187012,280925
2/19/2018,347,351,320,340,299.381622,431368
2/20/2018,340,347,340,342,301.142731,910941
2/21/2018,345,349,344,346,304.664886,707537
2/22/2018,345,350,345,350,308.187012,145278
2/23/2018,350,357,350,355,312.589691,233578
2/26/2018,358,359,356,358,315.231232,444559
2/27/2018,359,359,356,357,314.350769,516954
2/28/2018,352,358,352,358,315.231232,663694
3/1/2018,354,361,354,360,316.992371,1439553
3/2/2018,354,361,354,361,317.872864,4163225
3/5/2018,361,361,351,355,312.589691,628575
3/6/2018,355,363,355,358,315.231232,361337
3/7/2018,358,360,356,358,315.231232,191037
3/8/2018,357,358,355,358,315.231232,234191
3/9/2018,358,359,356,357,314.350769,908518
3/12/2018,358,361,351,358,315.231232,329560
3/13/2018,358,358,354,355,312.589691,497309
3/14/2018,354,357,353,356,313.470184,344821
3/15/2018,356,356,350,354,311.709106,280248
3/16/2018,355,361,355,360,316.992371,654870
3/19/2018,361,362,356,358,315.231232,410620
3/20/2018,359,360,356,358,315.231232,104186
3/21/2018,361,361,357,360,316.992371,173815
3/22/2018,359,361,356,360,316.992371,225301
3/23/2018,355,356,347,348,306.425934,386686
3/26/2018,348,352,348,350,308.187012,378318
3/27/2018,353,355,348,348,306.425934,267115
3/28/2018,348,350,344,349,307.306458,722072
3/29/2018,350,350,349,349,307.306458,250854
4/3/2018,349,353,349,351,309.067535,195155
4/4/2018,349,350,347,349,307.306458,350325
4/5/2018,346,350,346,347,309.00061,208309
4/6/2018,347,349,344,348,309.891113,699929
4/9/2018,348,350,345,346,308.110168,322087
4/10/2018,346,351,346,350,311.672089,232596
4/11/2018,350,350,346,346,308.110168,270848
4/12/2018,346,347,344,344,306.329132,266011
4/13/2018,347,347,344,346,308.110168,280548
4/16/2018,342,346,342,344,306.329132,173217
4/17/2018,344,344,340,340,302.767151,301783
4/18/2018,346,346,340,343,305.438629,350512
4/19/2018,340,343,338,340,302.767151,736349
4/20/2018,340,342,339,340,302.767151,380368
4/23/2018,340,340,336,340,302.767151,207184
4/24/2018,338,344,338,340,302.767151,165568
4/25/2018,337,340,337,337,300.095703,46530
4/26/2018,335,335,329,332,295.643219,202550
